FID	X	Y	demand	sub_region
0	791092.6 	3810179.2 	840	0
1	794210.8 	3812628.9 	552	0
2	795265.1 	3811396.5 	2106	0
3	795420.2 	3810903.5 	1367	0
4	793368.3 	3812458.5 	552	0
5	793224.5 	3810977.0 	2362	0
6	794147.4 	3809325.8 	1153	0
7	795411.3 	3810021.1 	2150	0
8	795325.8 	3807699.5 	676	0
9	793450.6 	3807084.7 	1380	0
10	793825.2 	3808151.6 	760	0
11	792790.8 	3809354.6 	5696	0
12	790979.4 	3806553.8 	3380	0
13	791150.0 	3807733.4 	2158	0
14	789208.9 	3807738.9 	4291	0
15	788704.9 	3809119.1 	3140	0
16	788501.1 	3810126.6 	1600	0
17	789321.7 	3809807.9 	1450	0
18	791945.1 	3810497.7 	827	0
19	791179.9 	3811555.3 	1600	0
20	790612.5 	3811247.3 	487	0
21	791555.1 	3812728.4 	1536	0
22	790789.2 	3814140.7 	2750	0
23	790194.6 	3813508.4 	1360	0
24	786828.5 	3814332.9 	2702	0
25	787744.3 	3813532.7 	1536	0
26	788425.7 	3813285.4 	1801	0
27	787261.5 	3811711.8 	1965	0
28	788913.6 	3811191.7 	1368	0
29	789520.8 	3812918.4 	3612	0
30	796531.0 	3795976.5 	1766	0
31	798087.7 	3798057.2 	905	0
32	797790.6 	3795974.1 	1543	0
33	797006.4 	3797447.5 	2530	0
34	793667.0 	3795177.1 	2556	0
35	794087.3 	3796966.6 	1668	0
36	792626.8 	3796697.0 	858	0
37	796135.0 	3800610.9 	3460	0
38	792053.7 	3798304.1 	498	0
39	793804.1 	3793305.1 	1350	0
40	792554.9 	3797529.5 	1680	0
41	793452.3 	3798640.7 	1023	0
42	795475.8 	3795909.9 	1515	0
43	795172.1 	3797510.0 	824	0
44	794706.7 	3798141.9 	1194	0
45	794008.7 	3798841.5 	2188	0
46	795524.4 	3797892.8 	1102	0
47	791080.9 	3800465.4 	2680	0
48	791502.8 	3801572.3 	1240	0
49	790452.6 	3803628.8 	3399	0
50	791048.3 	3803133.3 	1864	0
51	793115.8 	3803075.0 	1798	0
52	793077.0 	3802844.5 	1070	0
53	792889.8 	3803877.5 	1308	0
54	792695.0 	3805380.8 	3700	0
55	792388.2 	3806473.3 	3464	0
56	794820.0 	3806190.7 	1550	0
57	794555.6 	3805148.3 	1180	0
58	794350.9 	3803873.4 	3132	0
59	793354.1 	3801320.1 	1875	0
60	793156.3 	3800773.0 	4200	0
61	793948.8 	3801846.8 	1373	0
62	795138.3 	3801277.5 	952	0
63	795141.1 	3800689.1 	2350	0
64	802176.5 	3803816.4 	2551	0
65	800744.1 	3802275.8 	1813	0
66	801668.1 	3802714.1 	1214	0
67	802510.2 	3801324.5 	1973	0
68	802410.5 	3800472.7 	1990	0
69	802411.9 	3800477.4 	1994	0
70	799807.6 	3798045.2 	686	0
71	800105.0 	3799077.4 	1397	0
72	800105.0 	3799077.4 	2088	0
73	798811.3 	3802172.3 	2395	0
74	808911.3 	3801511.5 	1037	0
75	796744.4 	3802699.1 	1147	0
76	797719.1 	3803517.0 	1463	0
77	798209.7 	3804708.1 	1006	0
78	796812.8 	3804567.8 	2320	0
79	796519.6 	3805987.4 	1092	0
80	798301.3 	3805731.6 	1391	0
81	800083.8 	3806139.5 	2137	0
82	799697.8 	3804548.9 	1563	0
83	799638.1 	3803614.0 	1514	0
84	796551.0 	3807552.7 	2550	0
85	798286.9 	3809377.2 	2120	0
86	797191.0 	3809545.0 	2039	0
87	796562.4 	3810950.9 	2779	0
88	798089.3 	3810951.1 	2621	0
89	798570.6 	3811921.4 	556	0
90	799952.8 	3810909.1 	2027	0
91	800457.8 	3811275.1 	1724	0
92	782802.5 	3802175.9 	2996	0
93	802257.0 	3810128.9 	2550	0
94	803596.0 	3811060.7 	3565	0
95	804199.8 	3811884.4 	1980	0
96	806521.2 	3811206.7 	3335	0
97	806344.6 	3810488.2 	3200	0
98	803209.2 	3808752.3 	1862	0
99	802355.7 	3807553.6 	3035	0
100	805155.0 	3807719.1 	1004	0
101	804563.3 	3806632.5 	1237	0
102	803355.6 	3806141.9 	2216	0
103	802678.8 	3806046.5 	1680	0
104	803394.8 	3804789.7 	1794	0
105	803185.5 	3804103.3 	1500	0
106	801012.8 	3807577.5 	2400	0
107	800479.0 	3807409.4 	2206	0
108	798104.1 	3806491.8 	2378	0
109	802736.4 	3811745.0 	1626	0
110	802851.1 	3812763.8 	2228	0
111	796980.4 	3818890.8 	1611	0
112	796927.0 	3817806.0 	2451	0
113	796833.9 	3816013.9 	2373	0
114	796937.5 	3815143.1 	2180	0
115	797283.6 	3814159.4 	1068	0
116	797739.0 	3812903.7 	4045	0
117	799084.8 	3814080.2 	2658	0
118	800779.2 	3813328.1 	2085	0
119	800349.0 	3814002.3 	962	0
120	800216.7 	3812661.7 	1624	0
121	799904.7 	3818855.6 	1860	0
122	798921.2 	3817384.2 	1281	0
123	798935.6 	3816402.9 	1261	0
124	803197.6 	3819558.1 	2748	0
125	801606.8 	3819269.7 	1891	0
126	800543.6 	3819594.7 	3064	0
127	802044.2 	3814318.1 	2915	0
128	802255.9 	3815462.5 	1323	0
129	803939.8 	3815019.0 	1538	0
130	803675.0 	3813672.1 	1358	0
131	804128.4 	3812892.2 	1479	0
