FID	X	Y	capa	cost	Existing	cost
0	791134.7118	3815653.586	38000	74000	1	84000
1	788834.9763	3810558.737	30000	67000	1	77000
2	793397.0034	3809033.599	35000	70000	1	80000
3	801712.9047	3814564.773	32000	71000	1	81000
4	801709.361	3814148.518	37000	72000	1	82000
5	790784.4741	3825002.606	40000	80000	1	90000
6	790301.1566	3830440.621	35000	72000	1	82000
7	786899.0847	3822758.455	32000	70000	1	80000
8	785415.8267	3807248.337	39000	76000	1	86000
9	784230.7663	3802602.226	37000	77000	1	87000
10	799609.0159	3822362.992	31000	66000	1	76000
11	799353.4104	3819379.121	32000	69000	1	79000
12	789912.6557	3798619.825	37000	77000	1	87000
13	799748.5488	3802449.208	32000	72000	1	82000
14	794381.5713	3799296.51	36000	71000	1	81000
15	802307.0206	3805827.252	36000	74000	1	84000
16	798049.5503	3807848.751	38000	74000	1	84000
17	805799.0156	3799892.245	36000	72000	1	82000
18	807819.4837	3799654.389	40000	78000	1	88000
19	789063.7277	3795318.504	40000	77000	1	87000
20	789308.3814	3797868.761	36000	75000	1	85000
21	768085.8579	3807392.65	38000	77000	1	87000
22	769217.2587	3812517.848	33000	71000	1	81000
23	779517.5701	3814178.64	40000	78000	1	88000
24	776732.9755	3807332.541	35000	73000	1	83000
25	776079.0176	3798311.747	32000	71000	1	81000
26	774743.7113	3798972.576	31000	71000	1	81000
27	793210.6119	3812845.945	38000	77000	1	87000
28	793710.6105	3812829.6	39000	75000	1	85000
29	793832.6791	3811903.288	33000	72000	1	82000
30	794908.0085	3812719.786	38000	74000	1	84000
31	792790.8095	3809354.582	30000	69000	0	79000
32	790979.4348	3806553.788	35000	71000	0	81000
33	789208.8734	3807738.92	32000	72000	0	82000
34	793667.0219	3795177.127	32000	68000	0	78000
35	796135.0176	3800610.934	39000	75000	0	85000
36	792695.0005	3805380.761	40000	80000	0	90000
37	794350.9192	3803873.44	37000	75000	0	85000
38	802176.5111	3803816.413	35000	74000	0	84000
39	796551.0353	3807552.677	34000	69000	0	79000
40	803595.9961	3811060.748	37000	73000	0	83000
41	806521.2117	3811206.705	38000	73000	0	83000
42	803355.563	3806141.871	38000	75000	0	85000
43	798104.1036	3806491.832	36000	73000	0	83000
44	797738.9513	3812903.699	37000	72000	0	82000
45	799084.8222	3814080.193	32000	68000	0	78000
46	803197.6191	3819558.149	30000	68000	0	78000
47	800543.6344	3819594.74	40000	78000	0	88000
48	802044.223	3814318.101	34000	69000	0	79000
49	804128.4458	3812892.242	38000	73000	0	83000
50	802329.6234	3817558.748	31000	69000	0	79000
51	800091.1624	3816166.893	33000	69000	0	79000
52	801959.4903	3820611.479	33000	70000	0	80000
53	799076.7158	3828511.927	37000	75000	0	85000
54	796261.1677	3828476.69	38000	78000	0	88000
55	796967.5984	3825740.601	39000	78000	0	88000
56	799403.7482	3821911.087	32000	71000	0	81000
57	777857.9135	3818427.054	32000	70000	0	80000
58	778673.4748	3820908.588	31000	66000	0	76000
59	780715.2593	3820987.186	40000	79000	0	89000
60	781965.7691	3817153.669	39000	75000	0	85000
61	785338.5733	3815106.242	33000	72000	0	82000
62	782398.7779	3812528.785	35000	70000	0	80000
63	780233.9306	3812144.206	31000	71000	0	81000
64	780605.0527	3814572.506	30000	68000	0	78000
65	784207.6149	3819438.076	34000	71000	0	81000
66	792196.143	3822681.862	37000	72000	0	82000
67	794447.4425	3822056.543	34000	69000	0	79000
68	788309.3261	3829401.264	30000	65000	0	75000
69	788517.0687	3834744.686	39000	79000	0	89000
70	792670.614	3829864.28	35000	71000	0	81000
71	793868.1631	3825975.189	40000	80000	0	90000
72	772991.2328	3806774.091	35000	73000	0	83000
73	772907.4703	3804187.948	38000	76000	0	86000
74	776683.4695	3804584.06	37000	74000	0	84000
75	767412.0535	3803702.728	38000	78000	0	88000
76	767438.0213	3806810.279	36000	73000	0	83000
77	773329.5783	3815188.966	31000	70000	0	80000
78	771088.1248	3809355.928	38000	77000	0	87000
79	767185.8683	3811185.66	33000	70000	0	80000
80	770634.8315	3812428.727	37000	75000	0	85000
81	790974.171	3793145.51	30000	68000	0	78000
82	786699.5334	3794177.887	34000	73000	0	83000
83	812289.868	3798463.906	30000	70000	0	80000
84	809038.9001	3799625.8	40000	75000	0	85000
85	804388.1611	3802047.794	31000	70000	0	80000
86	806377.4791	3803777.325	36000	76000	0	86000
87	807574.3566	3807273.983	30000	67000	0	77000
88	809872.237	3805152.562	32000	72000	0	82000
89	785602.4008	3801733.042	34000	69000	0	79000
90	785438.8739	3799828.102	38000	75000	0	85000
91	785218.929	3798271.234	37000	76000	0	86000
92	784577.9882	3796492.963	38000	73000	0	83000
93	782097.9739	3799355.782	40000	78000	0	88000
94	779022.5051	3797088.464	31000	71000	0	81000
95	781194.5644	3801476.163	38000	73000	0	83000
96	774581.0378	3802685.942	31000	71000	0	81000
97	771112.7522	3801195.215	40000	78000	0	88000
98	797006.3659	3797447.514	40000	79000	0	89000
99	794008.7267	3798841.547	32000	68000	0	78000
100	796927.0207	3817806.005	39000	77000	0	87000
101	789112.6444	3820964.524	39000	78000	0	88000
102	774756.7416	3811425.781	35000	72000	0	82000
103	780184.9546	3807250.723	32000	72000	0	82000
104	789228.8848	3803684.24	36000	75000	0	85000
105	810614.3357	3801749.048	34000	73000	0	83000
